timestamp,CompassSensor,DecibelSource
1612234447982,200.38267283295238,
1612234448004,201.00980714216462,43.26142302150933
1612234448026,200.0853546983817,
1612234448032,199.83994600150322,
1612234448053,,41.467975183443606
1612234448067,199.35292619292454,
1612234448094,,41.2484400306353
1612234448100,200.13619862656333,
1612234448110,200.07924850926372,
1612234448126,200.35981901998957,
1612234448130,200.69653368569288,
1612234448133,,46.537655530576444
1612234448149,200.7877713526259,
1612234448169,200.69203942121896,
1612234448174,,43.35043488490942
1612234448176,200.61000884928717,
1612234448189,200.7824984465866,
1612234448208,200.67842002401392,
1612234448213,,42.91265541272494
1612234448227,200.65727375834354,
1612234448248,200.54024529710455,
1612234448253,,40.199922793908634
1612234448267,200.78279897491007,
1612234448288,200.66254666438283,
1612234448293,,41.72474113835599
1612234448306,200.60611564146018,
1612234448326,200.41808053360978,
1612234448327,200.76487655852793,
1612234448334,,44.72068261628639
1612234448346,200.7159177625573,
1612234448366,200.59140341398802,
1612234448374,,50.47078650668592
1612234448376,200.66400832486522,
1612234448385,200.71502983796518,
1612234448405,200.74808795354807,
1612234448414,,45.44589238004296
1612234448424,200.89143996384837,
1612234448426,201.31305388093483,
1612234448444,201.2575107826043,
1612234448454,,43.54286038142672
1612234448464,201.2496150839238,
1612234448484,201.21916610060384,
1612234448494,,39.9553187678083
1612234448503,201.18560255102238,
1612234448523,201.27984550119027,
1612234448526,201.45712989128708,
1612234448534,,38.1981884440342
1612234448542,201.58286001352872,
1612234448562,201.53306793447928,
1612234448577,201.7909212360256,
1612234448582,201.7443803270212,
1612234448584,,31.755012973021902
1612234448602,201.5633393328808,
1612234448620,201.6493177541529,30.472411759124576
1612234448626,201.59828258067455,
1612234448640,201.7251055331834,
1612234448659,,30.098448352221986
1612234448660,201.66439881184033,
1612234448680,201.7236575330794,
1612234448700,201.74711240268914,38.64901912677726
1612234448720,201.446037664075,
1612234448726,201.63629941359488,
1612234448738,201.68475277556695,
1612234448739,,42.82097484313897
1612234448758,201.78675482063193,
1612234448776,201.82582350268444,
1612234448778,202.0327235930224,
1612234448779,,40.33744618465398
1612234448798,202.06477084060816,
1612234448818,201.97894268349773,
1612234448819,,38.00845291083497
1612234448828,201.66237707584605,
1612234448841,201.67815481282878,
1612234448857,201.76821768722448,
1612234448859,,52.00648723849185
1612234448878,201.67872854871894,
1612234448896,201.6289364696696,
1612234448899,,61.88024979309968
1612234448916,201.5724781259903,
1612234448926,201.82552297436087,
1612234448937,201.69436968191826,
1612234448939,,60.447988490682974
1612234448955,201.81791414362556,
1612234448974,201.73431262818463,
1612234448976,201.56391306877106,
1612234448979,,58.811781975090476
1612234448994,201.57851601321659,
1612234449014,201.55608567198226,
1612234449019,,47.68902749717546
1612234449026,201.37123343228495,
1612234449033,201.5717131448032,
1612234449054,201.33547056179077,
1612234449059,,64.94782375589372
1612234449073,201.4383332106912,
1612234449092,201.4667467976385,
1612234449099,,64.97613768321825
1612234449112,201.36097448815167,
1612234449126,201.42706339856068,
1612234449132,201.3687199226705,
1612234449149,,64.03184581247653
1612234449151,201.386177886189,
1612234449172,201.4682630996342,
1612234449176,201.65501413192078,
1612234449190,201.77216553656478,53.928200103258675
1612234449210,201.7679308192794,
1612234449226,201.60182061866465,
1612234449229,,68.20060699632191
1612234449230,201.76040395081395,
1612234449250,201.59535925970977,
1612234449269,201.63058937544872,70.69278437352914
1612234449289,201.57639865457384,
1612234449308,201.56247872904532,
1612234449309,,68.99300183250111
1612234449326,201.78303919772338,
1612234449328,201.89393414908773,
1612234449348,201.7679308192794,
1612234449349,,67.55210301637672
1612234449368,201.62344499757694,
1612234449377,201.5861248439519,
1612234449389,201.61849994061777,55.09428103794603
1612234449406,201.88226818598537,
1612234449427,201.93361754816556,
1612234449429,,67.54519505026111
