sec,timestamp,maa,clock_ticks,clock_seconds,longitude,latitude,relative_height_meters
1,2022-06-09 09:40:01,0.00022164975,1573548128,275.049,144.80279888098917,13.431452767775866,-0.7312085300292992
2,2022-06-09 09:40:02,0.00022202828,1578049506,276.05,144.80279900699216,13.431452829992198,-0.8051907687988304
3,2022-06-09 09:40:03,0.0002178862,1582550330,277.05,144.80279890050255,13.431452731507164,-0.7840535312500023
4,2022-06-09 09:40:04,0.0001742413,1587050722,278.05,144.80279891320507,13.431452757549238,-0.9214551120605492
5,2022-06-09 09:40:05,0.00018896919,1591550768,279.05,144.8027989947873,13.4314526740752,-1.0033642917480492
6,2022-06-09 09:40:06,0.00019439276,1596050780,280.05,144.8027990163072,13.431452644098805,-0.9769436984863304
7,2022-06-09 09:40:07,0.00018840504,1600550807,281.05,144.80279904071224,13.431452556226336,-0.9980809360351586
8,2022-06-09 09:40:08,0.0001817618,1605050904,282.05,144.80279911900368,13.431452558340055,-1.1856839328613304
9,2022-06-09 09:40:09,0.00018518446,1609551234,283.05,144.80279931522466,13.43145255389929,-0.757629123291018
10,2022-06-09 09:40:10,0.0001783996,1614051636,284.05,144.8027993613673,13.431452385145269,-0.725921359619143
11,2022-06-09 09:40:11,0.00018392349,1618553981,285.051,144.80279945729637,13.431452465321708,-0.4035603671875023
12,2022-06-09 09:40:12,0.00018869052,1623054729,286.051,144.80279961562866,13.431452452483054,-0.4352681308593773
13,2022-06-09 09:40:13,0.00018918858,1627554871,287.051,144.8027996414333,13.431452450138094,-0.5620991855468773
14,2022-06-09 09:40:14,0.00018735384,1632055226,288.051,144.80279981534522,13.43145262488642,-0.9743001132812524
15,2022-06-09 09:40:15,0.00018276536,1636555244,289.051,144.80279960502517,13.43145266867528,-0.7734830051269554
16,2022-06-09 09:40:16,0.00018145939,1641055615,290.051,144.8027996585199,13.431452653279967,-0.7470624118652367
17,2022-06-09 09:40:17,0.00017301145,1645555777,291.051,144.80279972650067,13.431452663561965,-0.802550998291018
18,2022-06-09 09:40:18,0.00017751368,1650057094,292.051,144.80279970339342,13.431452652195423,-0.6228711276855492
19,2022-06-09 09:40:19,0.00018453396,1654558950,293.052,144.80279970186498,13.431452832610736,-0.6228711276855492
20,2022-06-09 09:40:20,0.00017752242,1659060593,294.052,144.802799706281,13.431452745808157,0.4915118076171865
21,2022-06-09 09:40:21,0.00017770396,1663561111,295.052,144.80279976316507,13.43145279194849,0.4915118076171865
22,2022-06-09 09:40:22,0.00018095996,1668062145,296.052,144.80280004897372,13.431452552645387,0.4492335178222646
23,2022-06-09 09:40:23,0.00017360588,1672562722,297.052,144.8028001981382,13.431452517700608,0.539073453124999
24,2022-06-09 09:40:24,0.00017738587,1677062942,298.053,144.80280032670427,13.43145258301261,0.9274935581054676
25,2022-06-09 09:40:25,0.0001782136,1681563798,299.053,144.80280117495073,13.43145281669758,3.461493954833984
26,2022-06-09 09:40:26,0.00017370789,1686064691,300.053,144.80280007923596,13.431454949294812,3.6200213291015615
27,2022-06-09 09:40:27,0.00017340749,1690565562,301.053,144.80280002591604,13.431454271764403,4.835410580810546
28,2022-06-09 09:40:28,0.00016989435,1695068292,302.054,144.80280041838932,13.431454039929346,5.37434719580078
29,2022-06-09 09:40:29,0.00016855361,1699568988,303.054,144.80280146181786,13.431453599422216,6.455043301757812
30,2022-06-09 09:40:30,0.00016819687,1704069717,304.054,144.80280121971035,13.43145323845155,8.214793667968749
31,2022-06-09 09:40:31,0.00016157769,1708570249,305.054,144.80280013432625,13.43145369110687,9.081420407470702
32,2022-06-09 09:40:32,0.00015906694,1713070410,306.054,144.8028001255658,13.43145323635737,8.843383298095702
33,2022-06-09 09:40:33,0.00016401705,1717570968,307.054,144.80279927332458,13.43145362694292,10.338679776367186
34,2022-06-09 09:40:34,0.00016217145,1722071533,308.054,144.80279951426934,13.431452959297165,11.263415799316403
35,2022-06-09 09:40:35,0.00015682525,1726571534,309.054,144.80280057715348,13.43145359906396,12.032470212158202
36,2022-06-09 09:40:36,4.776498e-05,1731072150,310.055,144.80280211618688,13.431454976991388,12.510829434570311
37,2022-06-09 09:40:37,1.3504599e-05,1735572768,311.055,144.80281489611826,13.431461503443185,12.447356686767575
38,2022-06-09 09:40:38,5.4925667e-06,1740073748,312.055,144.80283379037368,13.431470067185897,12.679637417968747
39,2022-06-09 09:40:39,5.611308e-06,1744573902,313.055,144.8028642258478,13.43148370497772,12.7849230625
40,2022-06-09 09:40:40,4.743246e-06,1749074081,314.055,144.8029045528389,13.43150179084152,12.263850674804686
41,2022-06-09 09:40:41,5.084411e-06,1753574221,315.055,144.80295359493542,13.431521147451823,11.523589596923827
42,2022-06-09 09:40:42,5.0203807e-06,1758074588,316.055,144.8030005873427,13.43154226353724,11.032546506103516
43,2022-06-09 09:40:43,5.1532766e-06,1762574768,317.055,144.80304886827813,13.431563090788805,11.64302395361328
44,2022-06-09 09:40:44,3.6859979e-06,1767076903,318.056,144.8030940207891,13.431583430966256,11.793654904541016
45,2022-06-09 09:40:45,3.8909157e-06,1771576941,319.056,144.80313212640925,13.431601021743996,12.250739560302732
46,2022-06-09 09:40:46,3.8647368e-06,1776077233,320.056,144.80316224862304,13.431613826798412,11.265445218261718
47,2022-06-09 09:40:47,3.6017807e-06,1780577575,321.056,144.80317304395442,13.431619502928864,12.11684750097656
48,2022-06-09 09:40:48,4.596032e-06,1785078468,322.056,144.803180428272,13.431624192170142,11.567542538818358
49,2022-06-09 09:40:49,3.4503191e-06,1789579870,323.056,144.8031860503604,13.43162380226854,11.292747006591796
